,Variable,Importance
81,var_81,0.011537141
139,var_139,0.0109697245
26,var_26,0.010208258
12,var_12,0.009764701
146,var_146,0.009452623
53,var_53,0.00940798
110,var_110,0.009177935
6,var_6,0.009111445
109,var_109,0.0089558065
2,var_2,0.008686981
133,var_133,0.008666078
76,var_76,0.008489123
174,var_174,0.008447935
190,var_190,0.008292496
148,var_148,0.00827689
99,var_99,0.008247958
0,var_0,0.008125998
44,var_44,0.008087531
22,var_22,0.0079527125
166,var_166,0.007921372
80,var_80,0.007894798
165,var_165,0.007843206
34,var_34,0.0077491184
164,var_164,0.00760066
198,var_198,0.007592976
13,var_13,0.00758695
108,var_108,0.007446744
179,var_179,0.0073341914
21,var_21,0.007306009
123,var_123,0.0070408676
170,var_170,0.0070378464
169,var_169,0.007035751
33,var_33,0.006868289
192,var_192,0.0066979052
18,var_18,0.0066469535
40,var_40,0.006597883
173,var_173,0.006592989
92,var_92,0.0065417453
78,var_78,0.0065320376
177,var_177,0.0065270057
1,var_1,0.006487071
95,var_95,0.006402236
94,var_94,0.0063835923
157,var_157,0.006379877
154,var_154,0.0063370885
115,var_115,0.006320054
184,var_184,0.0062813167
162,var_162,0.006249873
91,var_91,0.006208014
9,var_9,0.006169271
56,var_56,0.006150091
147,var_147,0.005977918
155,var_155,0.005941025
35,var_35,0.0058901315
149,var_149,0.005849648
191,var_191,0.00583797
121,var_121,0.005809181
188,var_188,0.005764224
150,var_150,0.0057455013
172,var_172,0.0057384996
141,var_141,0.005723421
127,var_127,0.0057090097
89,var_89,0.0056664036
118,var_118,0.005632746
75,var_75,0.00561966
163,var_163,0.005588918
36,var_36,0.005551114
107,var_107,0.005445414
71,var_71,0.0053607062
86,var_86,0.0053490447
5,var_5,0.005336511
122,var_122,0.0052678725
93,var_93,0.0051984456
197,var_197,0.0050738826
67,var_67,0.0050690994
87,var_87,0.0050563654
137,var_137,0.005024243
111,var_111,0.004996933
195,var_195,0.0049785506
135,var_135,0.004942461
106,var_106,0.0049308287
32,var_32,0.004901329
49,var_49,0.0049005356
31,var_31,0.004875449
52,var_52,0.004852964
130,var_130,0.004819038
145,var_145,0.004794279
51,var_51,0.0047662593
131,var_131,0.004756718
175,var_175,0.0047310763
28,var_28,0.004654035
119,var_119,0.004639959
186,var_186,0.0046182866
178,var_178,0.0046168016
180,var_180,0.004615832
151,var_151,0.0045766803
114,var_114,0.004522017
125,var_125,0.0045100683
23,var_23,0.004501306
20,var_20,0.004499426
196,var_196,0.0044895466
58,var_58,0.004464817
102,var_102,0.0044325264
112,var_112,0.0044006086
104,var_104,0.0043323194
55,var_55,0.004316677
132,var_132,0.0042679263
194,var_194,0.0042645144
43,var_43,0.004254127
193,var_193,0.004244538
11,var_11,0.0041840314
45,var_45,0.0041514263
70,var_70,0.0041444213
167,var_167,0.0041124052
128,var_128,0.0041011497
88,var_88,0.004085493
156,var_156,0.004025214
82,var_82,0.00401203
90,var_90,0.004010856
50,var_50,0.004008822
48,var_48,0.00398517
142,var_142,0.0039760503
116,var_116,0.003962658
85,var_85,0.0039418642
168,var_168,0.0038959018
105,var_105,0.0038792365
134,var_134,0.0038433801
199,var_199,0.0038338557
171,var_171,0.0038297412
79,var_79,0.0037994985
15,var_15,0.003786567
74,var_74,0.0037595113
16,var_16,0.0037319334
140,var_140,0.0037309614
4,var_4,0.0037228032
62,var_62,0.0036929317
97,var_97,0.0036738464
8,var_8,0.003671099
72,var_72,0.0036702603
144,var_144,0.0036326211
138,var_138,0.0036289443
152,var_152,0.0036180173
77,var_77,0.0036106606
24,var_24,0.003584677
66,var_66,0.0035439148
59,var_59,0.0035259256
96,var_96,0.0035119741
7,var_7,0.003487793
57,var_57,0.0034725314
39,var_39,0.0034569413
189,var_189,0.003443859
187,var_187,0.0034226885
69,var_69,0.0034088048
100,var_100,0.0034024518
124,var_124,0.003371851
159,var_159,0.0033636694
65,var_65,0.0033472134
181,var_181,0.0033455752
63,var_63,0.0033416143
14,var_14,0.0033392669
3,var_3,0.0033369958
17,var_17,0.0033327204
64,var_64,0.003312375
83,var_83,0.0033123204
68,var_68,0.0033041579
101,var_101,0.0032899487
158,var_158,0.0032697152
60,var_60,0.0032604346
136,var_136,0.0032428848
61,var_61,0.0032409793
73,var_73,0.0032383734
120,var_120,0.0032359876
143,var_143,0.0032325732
54,var_54,0.0032291021
176,var_176,0.0032065623
113,var_113,0.0032037266
46,var_46,0.0031955503
117,var_117,0.0031876178
84,var_84,0.0031849875
47,var_47,0.0031705662
29,var_29,0.0031411166
153,var_153,0.003135618
38,var_38,0.0031283782
185,var_185,0.0031262755
37,var_37,0.003123653
27,var_27,0.003118401
98,var_98,0.0031116786
10,var_10,0.0030905914
183,var_183,0.003085454
42,var_42,0.003068751
160,var_160,0.003068337
182,var_182,0.0030413107
25,var_25,0.0030186025
126,var_126,0.002971318
19,var_19,0.0029493223
129,var_129,0.0029101162
161,var_161,0.0029057087
103,var_103,0.0028987706
41,var_41,0.0028803677
30,var_30,0.0028360388
